автор,нація,рахунок,назва,Позитивні відгуки,Негативні відгуки,Дата коментаря,Тип кімнати,Дата заїзду,Дата виїзду
"Яна","Ukraine","10","","","","2025-02-01","Deluxe Studio","2025-01-27","2025-02-01"
"Аліна","Ukraine","8","","","","2025-01-17","Superior Double Room","2025-01-14","2025-01-16"
"Serhii","Ukraine","10","","","","2025-01-14","Comfort Triple Room","2025-01-13","2025-01-14"
"Бризицкая","Ukraine","10","","","","2025-01-13","Comfort Triple Room","2025-01-05","2025-01-09"
"Yuliia","Ukraine","10","","","","2025-01-10","Deluxe Studio","2025-01-08","2025-01-10"
"Roman","Ukraine","10","","","","2025-01-02","Small Double Room","2025-01-01","2025-01-02"
"Надія","Ukraine","9","","","","2025-01-02","Superior Double Room","2024-10-11","2024-10-13"
"Olga","Ukraine","10","","","","2024-12-28","Superior Double Room","2024-12-14","2024-12-16"
"Sukhareva","Ukraine","10","","","","2024-12-26","Deluxe Studio","2024-09-25","2024-09-28"
"Kateryna","Ukraine","9","","","","2024-12-25","Superior Double Room","2024-12-22","2024-12-24"
"Анна","Ukraine","10","Номер -  все як на фото  комфортно  чисто  є все необхідне (шампунь  гель для душу  фен) зручне розташування.","","","2024-12-24","Small Double Room","2024-12-22","2024-12-24"
"Iryna","Ukraine","10","","","","2024-12-22","Deluxe Studio","2024-12-19","2024-12-22"
"Тарас","Ukraine","10","","","","2024-12-22","Superior Double Room","2024-12-16","2024-12-18"
"Marta","Ukraine","9","","","","2024-12-08","Superior Double Room","2024-12-07","2024-12-08"
"Алёна","Ukraine","10","","","","2024-11-30","Small Double Room","2024-11-27","2024-11-29"
"Ангеліна","Ukraine","9","","","","2024-11-26","Comfort Quadruple Room","2024-09-22","2024-09-24"
"Svetlana","Ukraine","10","","","","2024-11-25","Superior Double Room","2024-11-23","2024-11-25"
"Євген","Poland","10","","","","2024-11-20","Comfort Triple Room","2024-11-12","2024-11-16"
"Maryna","Ukraine","10","","","","2024-11-15","Superior Double Room","2024-11-13","2024-11-15"
"Tatiana","Ukraine","8","","","","2024-11-10","Superior Double Room","2024-11-07","2024-11-09"
"Nataliya","Ukraine","10","","","","2024-11-03","Superior Double Room","2024-10-31","2024-11-02"
"Прядко","Ukraine","10","","","","2024-11-02","Superior Double Room","2024-10-04","2024-10-06"
"Дарья","Ukraine","10","","","","2024-11-02","Superior Double Room","2024-10-31","2024-11-01"
" каріна","Ukraine","10","","","","2024-11-01","Comfort Triple Room","2024-10-28","2024-10-31"
"Valerii","Ukraine","10","","","","2024-10-28","Deluxe Studio","2024-10-25","2024-10-26"
"Катерина","Ukraine","10","","","","2024-10-28","Comfort Quadruple Room","2024-10-26","2024-10-27"
"Oksana","Ukraine","9","","","","2024-10-28","Comfort Triple Room","2024-10-20","2024-10-23"
"Синьчук","Ukraine","10","","","","2024-10-26","Superior Double Room","2024-08-27","2024-08-29"
"Ir","Ukraine","9","","","","2024-10-24","Comfort Triple Room","2024-10-18","2024-10-20"
"Вадим","Ukraine","10","","","","2024-10-20","Comfort Quadruple Room","2024-10-17","2024-10-19"
"Viktoria","Ukraine","10","","","","2024-10-15","Comfort Triple Room","2024-10-01","2024-10-04"
"Anna","Ukraine","10","","","","2024-10-13","Comfort Quadruple Room","2024-10-11","2024-10-13"
"Світлана","Ukraine","10","","","","2024-10-01","Deluxe Studio","2024-08-19","2024-08-21"
"Іра","Ukraine","10","","","","2024-09-29","Comfort Quadruple Room","2024-09-24","2024-09-27"
"Maria","Ukraine","9","","","","2024-09-25","Superior Double Room","2024-09-21","2024-09-23"
"Катя","Ukraine","10","","","","2024-09-24","Deluxe Studio","2024-08-26","2024-08-28"
"Kateryna","Ukraine","9","","","","2024-09-23","Comfort Triple Room","2024-09-20","2024-09-22"
"Yuliia","Poland","9","","","","2024-09-21","Superior Double Room","2024-09-18","2024-09-21"
"Tetiana","Ukraine","9","","","","2024-09-17","Deluxe Studio","2024-09-15","2024-09-17"
"Катерина","Ukraine","10","","","","2024-09-15","Superior Double Room","2024-09-13","2024-09-15"
"Марія","Ukraine","10","","","","2024-09-13","Comfort Quadruple Room","2024-09-11","2024-09-13"
"Anastasia","Ukraine","10","","","","2024-09-13","Superior Double Room","2024-09-10","2024-09-12"
"Pavliuk","Ukraine","10","","","","2024-09-12","Comfort Triple Room","2024-09-08","2024-09-11"
"-","Ukraine","10","","","","2024-09-09","Small Double Room","2024-09-06","2024-09-08"
"Yuliia","Ukraine","10","","","","2024-09-08","Comfort Quadruple Room","2024-08-19","2024-08-21"
"Nataliia","Ukraine","9","","","","2024-09-02","Superior Double Room","2024-07-19","2024-07-22"
"Alina","Ukraine","10","","","","2024-08-28","Superior Double Room","2024-07-30","2024-08-01"
"Марія","Ukraine","10","","","","2024-08-26","Deluxe Studio","2024-08-24","2024-08-26"
"Ahaian","Ukraine","9","Єдине  чого не вистачило-це кондиціонер. Решта - на відмінно!","","","2024-08-26","Superior Double Room","2024-08-23","2024-08-26"
"Uliana","Ukraine","10","","","","2024-08-25","Comfort Triple Room","2024-08-19","2024-08-21"
"Михайло","Ukraine","10","","","","2024-08-24","Superior Double Room","2024-08-19","2024-08-24"
"Дарина","Ukraine","9","","","","2024-08-21","Deluxe Studio","2024-08-20","2024-08-21"
"Діана","Ukraine","10","","","","2024-08-20","Comfort Quadruple Room","2024-08-17","2024-08-19"
"Kyselova","Ukraine","9","","","","2024-08-18","Comfort Triple Room","2024-08-12","2024-08-15"
"Тетяна","Ukraine","10","Зручне розташування  чисто  комфортно  гарно👍☺️","","","2024-08-18","Superior Double Room","2024-08-16","2024-08-18"
"Олеся","Ukraine","9","","","","2024-08-13","Superior Double Room","2024-08-12","2024-08-13"
"Юлія","Ukraine","9","","","","2024-08-12","Superior Double Room","2024-08-10","2024-08-12"
"Туранская","Ukraine","9","","","","2024-08-12","Deluxe Studio","2024-08-10","2024-08-12"
"Софія","Ukraine","10","","","","2024-08-10","Deluxe Studio","2024-08-08","2024-08-10"
"Anastasiia","Ukraine","10","","","","2024-08-10","Deluxe Studio","2024-08-09","2024-08-10"
"Наталія","Ukraine","10","","","","2024-08-09","Superior Double Room","2024-08-02","2024-08-04"
"Serhii","Ukraine","10","","","","2024-08-08","Small Double Room","2024-07-07","2024-07-10"
"Христина","Ukraine","10","","","","2024-08-07","Superior Double Room","2024-08-05","2024-08-07"
"D_shalko","Ukraine","9","","","","2024-08-05","Superior Double Room","2024-08-04","2024-08-05"
"Mariia","Ukraine","10","","","","2024-08-04","Comfort Triple Room","2024-05-08","2024-05-11"
"Александра","Ukraine","10","","","","2024-08-03","Comfort Quadruple Room","2024-07-27","2024-07-29"
"Sofiia","Poland","10","","","","2024-08-01","Comfort Quadruple Room","2024-07-29","2024-07-30"
"Владислав","Ukraine","10","","","","2024-07-28","Deluxe Studio","2024-07-26","2024-07-28"
"Marina","Ukraine","10","","","","2024-07-28","Comfort Quadruple Room","2024-07-25","2024-07-27"
"Катерина","Ukraine","10","","","","2024-07-27","Small Double Room","2024-06-29","2024-06-30"
"Ляшко","Ukraine","10","","","","2024-07-23","Superior Double Room","2024-07-21","2024-07-22"
"Veronika","Ukraine","10","","","","2024-07-21","Comfort Triple Room","2024-07-15","2024-07-21"
"Уляна","Ukraine","10","","","","2024-07-15","Superior Double Room","2024-07-13","2024-07-14"
"Олександр","Ukraine","10","","","","2024-07-13","Deluxe Studio","2024-07-10","2024-07-12"
"Діана","Ukraine","10","","","","2024-07-08","Superior Double Room","2024-06-08","2024-06-11"
"Yevhen","Ukraine","10","","","","2024-07-04","Comfort Quadruple Room","2024-06-29","2024-07-03"
" каріна","Ukraine","10","","","","2024-07-04","Small Double Room","2024-07-01","2024-07-04"
"Артем","Ukraine","10","","","","2024-07-04","Deluxe Studio","2024-07-01","2024-07-04"
"Вікторія","Ukraine","10","","","","2024-07-02","Deluxe Studio","2024-06-30","2024-07-01"
"Борова","Ukraine","9","","","","2024-06-30","Small Double Room","2024-06-19","2024-06-22"
"Сидорович","Ukraine","10","","","","2024-06-27","Superior Double Room","2024-05-27","2024-05-28"
"Yuliia","Ukraine","10","Вже другий раз тут зупиняємось і все було чудово  чистий номер  всі зручності є. Номер доволі тихий і затишний. Чудове м","","","2024-06-26","Superior Double Room","2024-06-22","2024-06-25"
"Загревська","Ukraine","10","","","","2024-06-26","Small Double Room","2024-06-22","2024-06-25"
"Захарчук","Ukraine","10","","","","2024-06-21","Superior Double Room","2024-06-19","2024-06-21"
"Наталія","Ukraine","10","","","","2024-06-21","Comfort Quadruple Room","2024-06-19","2024-06-21"
"Ievgen","Ukraine","10","","","","2024-06-20","Comfort Triple Room","2024-06-14","2024-06-16"
"Stepan","Ukraine","10","","","","2024-06-20","Small Double Room","2024-05-22","2024-05-24"
"Kristina","Ukraine","10","","","","2024-06-20","Superior Double Room","2024-06-14","2024-06-16"
"K","Ukraine","9","","","","2024-06-14","Small Double Room","2024-06-10","2024-06-13"
"Olena","Ukraine","10","","","","2024-06-14","Comfort Quadruple Room","2024-06-09","2024-06-11"
"Karina","Poland","10","","","","2024-06-14","Superior Double Room","2024-06-09","2024-06-13"
"Ангелина","Ukraine","10","","","","2024-06-11","Small Double Room","2024-06-05","2024-06-07"
"Iryna","Ukraine","10","","","","2024-06-11","Superior Double Room","2024-06-08","2024-06-10"
"Софія","Ukraine","10","","","","2024-06-11","Small Double Room","2024-06-09","2024-06-10"
"Яна","Ukraine","10","","","","2024-06-10","Deluxe Studio","2024-04-16","2024-04-19"
"Iryna","Ukraine","10","","","","2024-06-09","Comfort Quadruple Room","2024-06-08","2024-06-09"
"Інна","Ukraine","10","","","","2024-06-07","Superior Double Room","2024-04-21","2024-04-26"
"Serhii","Ukraine","10","","","","2024-06-07","Deluxe Studio","2024-04-03","2024-04-06"
"Дяченко","Ukraine","10","","","","2024-06-07","Comfort Quadruple Room","2024-06-01","2024-06-03"
"Олександра","Ukraine","10","","","","2024-06-05","Superior Double Room","2024-06-03","2024-06-05"
"Горянець","Ukraine","10","","","","2024-06-02","Small Double Room","2024-05-31","2024-06-02"
"Владислав","Ukraine","10","","","","2024-05-22","Deluxe Studio","2024-04-23","2024-04-25"
"Олександр","Ukraine","10","","","","2024-05-21","Comfort Quadruple Room","2024-05-17","2024-05-20"
"Vasylevska","Ukraine","10","","","","2024-05-20","Deluxe Studio","2024-05-16","2024-05-19"
"Oleksandr","Ukraine","10","","","","2024-05-20","Superior Double Room","2024-05-15","2024-05-19"
"Саша","Ukraine","10","","","","2024-05-18","Superior Double Room","2024-05-15","2024-05-17"
"Марія","Poland","10","","","","2024-05-16","Comfort Triple Room","2024-05-11","2024-05-15"
"Марія","Ukraine","10","","","","2024-05-11","Deluxe Studio","2024-05-07","2024-05-11"
"Dariia","Poland","10","","","","2024-05-09","Superior Double Room","2024-04-16","2024-04-20"
"Aleksandra","Ukraine","8","","","","2024-05-08","Comfort Quadruple Room","2024-05-02","2024-05-04"
"Oleksandra","Ukraine","8","","","","2024-05-07","Superior Double Room","2024-04-30","2024-05-02"
"Yelyzaveta","Ukraine","10","","","","2024-05-05","Superior Double Room","2024-05-04","2024-05-05"
"Багмєт","Ukraine","10","","","","2024-05-04","Comfort Triple Room","2024-04-27","2024-04-30"
"Кобилінський","Ukraine","10","","","","2024-04-30","Deluxe Studio","2024-04-26","2024-04-29"
"Дмитро","Ukraine","10","","","","2024-04-29","Deluxe Studio","2024-04-28","2024-04-29"
"Iryna","Ukraine","8","","","","2024-04-29","Small Double Room","2024-04-26","2024-04-28"
"Inna","Ukraine","10","","","","2024-04-27","Small Double Room","2024-03-31","2024-04-01"
"Михаил","Ukraine","10","","","","2024-04-25","Superior Double Room","2024-04-22","2024-04-25"
"Костя","Ukraine","10","","","","2024-04-23","Deluxe Studio","2024-03-07","2024-03-09"
"Виктория","Ukraine","10","","","","2024-04-22","Comfort Quadruple Room","2024-04-19","2024-04-21"
"Назарій","Ukraine","10","","","","2024-04-21","Superior Double Room","2024-04-18","2024-04-21"
"Руслан","Ukraine","10","","","","2024-04-16","Comfort Quadruple Room","2024-04-11","2024-04-16"
"Bogdana","Ukraine","9","","","","2024-04-12","Superior Double Room","2024-04-06","2024-04-08"
"Михайло","Ukraine","10","","","","2024-04-11","Small Double Room","2024-04-09","2024-04-11"
"Кулик","Ukraine","9","","","","2024-04-06","Superior Double Room","2024-04-03","2024-04-06"
"Петряева","Ukraine","8","","","","2024-04-05","Superior Double Room","2024-03-30","2024-04-01"
"Svitlana","Ukraine","10","","","","2024-04-04","Superior Double Room","2024-04-01","2024-04-02"
"Arina","Ukraine","10","","","","2024-04-03","Superior Double Room","2024-03-27","2024-03-30"
"Любов","Ukraine","10","","","","2024-04-01","Superior Double Room","2024-03-31","2024-04-01"
"Oksana","Ukraine","10","","","","2024-03-28","Comfort Triple Room","2024-03-25","2024-03-28"
"Лана","Ukraine","9","","","","2024-03-27","Deluxe Studio","2024-03-23","2024-03-27"
"Аріадна","Ukraine","10","","","","2024-03-27","Comfort Quadruple Room","2024-03-23","2024-03-25"
"Олеся","Ukraine","10","","","","2024-03-21","Comfort Quadruple Room","2024-03-10","2024-03-11"
"Kappa","Ukraine","10","","","","2024-03-20","Deluxe Studio","2024-03-16","2024-03-20"
"Юлія","Ukraine","10","","","","2024-03-14","Small Double Room","2024-03-11","2024-03-14"
"Василь","Ukraine","10","","","","2024-03-14","Superior Double Room","2024-02-14","2024-02-16"
"Євген","Ukraine","9","","","","2024-03-14","Small Double Room","2024-03-09","2024-03-10"
"Viktoriia","Ukraine","10","","","","2024-03-13","Comfort Quadruple Room","2024-03-11","2024-03-13"
"Yevhen","Ukraine","9","","","","2024-03-13","Superior Double Room","2024-03-11","2024-03-13"
"Kateryna","Ukraine","10","","","","2024-03-12","Superior Double Room","2024-02-12","2024-02-14"
"Yevhen","Ukraine","10","","","","2024-03-05","Deluxe Studio","2024-03-02","2024-03-05"
"Anastasia","Ukraine","9","","","","2024-03-02","Comfort Triple Room","2024-02-29","2024-03-02"
"Николай","Ukraine","9","","","","2024-02-26","Superior Double Room","2024-01-01","2024-01-03"
"Vasylyshyn","Ukraine","10","","","","2024-02-24","Superior Double Room","2024-02-20","2024-02-23"
"Катя","Ukraine","10","","","","2024-02-15","Comfort Quadruple Room","2024-02-12","2024-02-15"
"Денис","Ukraine","9","","","","2024-02-13","Comfort Quadruple Room","2024-02-11","2024-02-12"
"Kozubovskyi","Ukraine","8","","","","2024-02-12","Superior Double Room","2024-02-05","2024-02-08"
"Дарина","Ukraine","10","","","","2024-02-12","Deluxe Studio","2024-02-07","2024-02-10"
"Viktoriabulakh","Ukraine","10","","","","2024-02-09","Comfort Quadruple Room","2024-02-04","2024-02-06"
"Ян","Ukraine","8","","","","2024-01-20","Superior Double Room","2024-01-19","2024-01-20"
"Юрій","Ukraine","10","","","","2024-01-17","Superior Double Room","2024-01-16","2024-01-17"
"Яна","Ukraine","10","","","","2024-01-15","Comfort Quadruple Room","2024-01-08","2024-01-10"
"Anastasiia","Ukraine","10","","","","2024-01-12","Superior Double Room","2023-11-06","2023-11-09"
"Korovaik","Ukraine","10","","","","2024-01-07","Superior Double Room","2023-12-25","2023-12-28"
"Анна","Ukraine","8","","","","2024-01-06","Superior Double Room","2024-01-04","2024-01-06"
"Марія","Ukraine","10","","","","2024-01-06","Comfort Quadruple Room","2023-12-31","2024-01-02"
"Svitlana","Ukraine","10","","","","2023-12-30","Deluxe Studio","2023-12-28","2023-12-29"
"Oleksandr","Ukraine","9","","","","2023-12-23","Deluxe Studio","2023-11-26","2023-11-27"
"Денис","Ukraine","9","","","","2023-12-21","Deluxe Studio","2023-12-19","2023-12-20"
"Юлія","Ukraine","10","","","","2023-12-20","Superior Double Room","2023-12-17","2023-12-20"
"Sergan","Ukraine","10","","","","2023-12-20","Comfort Quadruple Room","2023-12-17","2023-12-19"
"Chuprynska","Ukraine","10","","","","2023-12-14","Comfort Quadruple Room","2023-12-11","2023-12-13"
"Oleh","Ukraine","9","чудові апартаменти","","","2023-12-11","Superior Double Room","2023-12-06","2023-12-07"
"Причун","Ukraine","8","","","","2023-12-06","Superior Double Room","2023-12-05","2023-12-06"
"Андрей","Ukraine","10","","","","2023-12-04","Superior Double Room","2023-12-02","2023-12-04"
"Andrii","Ukraine","10","","","","2023-11-23","Deluxe Studio","2023-11-20","2023-11-21"
"Наталія","Ukraine","10","","","","2023-11-23","Superior Double Room","2023-11-18","2023-11-19"
"Катерина","Ukraine","10","","","","2023-11-10","Superior Double Room","2023-11-04","2023-11-06"
"Сиворог","Ukraine","9","","","","2023-11-07","Deluxe Studio","2023-11-03","2023-11-05"
"Anastasiia","Poland","9","","","","2023-11-02","Deluxe Studio","2023-10-27","2023-10-29"
"Oleksandr","Ukraine","10","","","","2023-10-31","Deluxe Studio","2023-10-25","2023-10-27"
"Василь","Ukraine","10","","","","2023-10-27","Superior Double Room","2023-10-24","2023-10-27"
"Альбина","Ukraine","10","","","","2023-10-23","Superior Double Room","2023-10-20","2023-10-22"
"Олена","Ukraine","9","","","","2023-10-21","Superior Double Room","2023-10-16","2023-10-20"
"Anna","Ukraine","10","","","","2023-10-20","Superior Double Room","2023-10-16","2023-10-18"
"Andrii","Ukraine","10","","","","2023-10-18","Comfort Quadruple Room","2023-10-14","2023-10-15"
"Marina","Ukraine","10","","","","2023-10-11","Deluxe Studio","2023-10-09","2023-10-10"
"Oksana","Ukraine","10","","","","2023-10-10","Comfort Quadruple Room","2023-10-05","2023-10-09"
"Дмитро","Ukraine","10","","","","2023-10-01","Superior Double Room","2023-09-29","2023-10-01"
"Tetiana","Ukraine","9","","","","2023-09-30","Deluxe Studio","2023-09-27","2023-09-29"
"Shanderyk","Ukraine","10","","","","2023-09-28","Superior Double Room","2023-09-27","2023-09-28"
"Наталія","Ukraine","9","","","","2023-09-12","Superior Double Room","2023-09-07","2023-09-09"
"Leonid","Ukraine","10","","","","2023-09-09","Superior Double Room","2023-09-07","2023-09-08"
"Oleksandr","Ukraine","10","","","","2023-09-05","Superior Double Room","2023-09-03","2023-09-05"
"Marina","Ukraine","10","","","","2023-09-04","Deluxe Studio","2023-09-01","2023-09-02"
"Svitlana","Ukraine","10","","","","2023-09-01","Superior Double Room","2023-08-29","2023-08-30"
"Валерия","Ukraine","7","","","","2023-08-30","Comfort Quadruple Room","2023-08-24","2023-08-29"
"Hanna","Ukraine","9","","","","2023-08-29","Deluxe Studio","2023-07-20","2023-07-26"
"Olesia","Ukraine","8","","","","2023-08-28","Superior Double Room","2023-08-26","2023-08-28"
"Dima","Ukraine","10","","","","2023-08-08","Deluxe Studio","2023-08-05","2023-08-07"
"Шкаліберда","Ukraine","10","","","","2023-08-06","Deluxe Studio","2023-08-03","2023-08-05"
"Карпенко","Ukraine","10","","","","2023-07-20","Deluxe Studio","2023-07-17","2023-07-19"
"Roman","Ukraine","8","Було б 10 з 10  якби був кондиціонер. Дуже жарко в номері","","","2023-07-20","Deluxe Studio","2023-07-16","2023-07-17"
"Maria","Ukraine","10","","","","2023-07-14","Superior Double Room","2023-07-12","2023-07-14"
"Dima","Ukraine","10","","","","2023-07-09","Deluxe Studio","2023-07-05","2023-07-08"
"Mr","Ukraine","9","","","","2023-07-04","Deluxe Studio","2023-07-01","2023-07-04"
"Пайсаніді","Ukraine","10","","","","2023-07-04","Superior Double Room","2023-06-30","2023-07-02"
"Yevhen","Ukraine","10","","","","2023-07-03","Comfort Quadruple Room","2023-06-29","2023-07-03"
"Mykola","Ukraine","9","","","","2023-06-24","Superior Double Room","2023-06-21","2023-06-23"
"Polina","Ukraine","10","","","","2023-06-20","Superior Double Room","2023-06-18","2023-06-20"
"Stepan","Ukraine","10","","","","2023-06-12","Deluxe Studio","2023-06-10","2023-06-12"
"Oleksandr","Ukraine","9","","","","2023-06-06","Superior Double Room","2023-06-05","2023-06-06"
"Панченко","Ukraine","10","","","","2023-05-30","Comfort Quadruple Room","2023-05-27","2023-05-30"
"Hlib","Ukraine","9","","","","2023-05-28","Superior Double Room","2023-05-25","2023-05-28"
"Ihor","Ukraine","10","","","","2023-05-26","Superior Double Room","2023-05-24","2023-05-25"
"Kateryna","Ukraine","10","","","","2023-05-23","Superior Double Room","2023-05-19","2023-05-22"
"Артем","Ukraine","10","","","","2023-05-09","Deluxe Studio","2023-05-03","2023-05-05"
"Тема","Ukraine","10","","","","2023-05-09","Comfort Quadruple Room","2023-05-07","2023-05-08"
"Inna","Ukraine","10","","","","2023-05-08","Deluxe Studio","2023-05-05","2023-05-07"
"Анастасия","Ukraine","10","","","","2023-05-07","Superior Double Room","2023-05-04","2023-05-06"
"Тимофій","Ukraine","10","","","","2023-05-01","Comfort Quadruple Room","2023-04-28","2023-05-01"
"Катя","Ukraine","10","","","","2023-04-30","Deluxe Studio","2023-02-05","2023-02-14"
"Дмитрий","Ukraine","10","","","","2023-04-26","Deluxe Studio","2023-04-23","2023-04-26"
"Oleksandra","Ukraine","9","","","","2023-04-22","Superior Double Room","2023-04-18","2023-04-22"
"Демченко","","10","","","","2023-04-15","Superior Double Room","2023-04-09","2023-04-15"
"Maryana","Ukraine","10","","","","2023-04-12","Superior Double Room","2023-04-08","2023-04-09"
"Ирина","Ukraine","10","","","","2023-04-04","Deluxe Studio","2023-01-22","2023-01-27"
"Uliana","Ukraine","8","","","","2023-03-30","Superior Double Room","2023-03-27","2023-03-30"
"Іван","Ukraine","10","","","","2023-03-25","Deluxe Studio","2023-03-21","2023-03-24"
"Ярослав","Ukraine","9","","","","2023-03-19","Comfort Quadruple Room","2023-03-16","2023-03-19"
"Elina","Ukraine","10","","","","2023-03-19","Superior Double Room","2022-12-20","2022-12-23"
"Гринивецкая","Ukraine","10","","","","2023-03-17","Superior Double Room","2023-03-14","2023-03-16"
"Oleg","Ukraine","9","","","","2023-03-13","Superior Double Room","2023-03-11","2023-03-12"
"Iryna","Ukraine","10","","","","2023-03-11","Superior Double Room","2023-03-09","2023-03-11"
"Kateryna","Ukraine","10","","","","2023-03-10","Comfort Quadruple Room","2023-01-13","2023-01-14"
"Владислав","Ukraine","10","","","","2023-03-07","Deluxe Studio","2023-03-04","2023-03-07"
"Олександ","Ukraine","10","","","","2023-03-03","Comfort Quadruple Room","2023-02-28","2023-03-02"
"Vita","Ukraine","8","","","","2023-03-02","Superior Double Room","2023-02-10","2023-02-12"
"Ковальчук","Ukraine","10","","","","2023-02-19","Superior Double Room","2023-02-16","2023-02-18"
"Евгений","Ukraine","8","","","","2023-02-15","Comfort Quadruple Room","2023-02-13","2023-02-14"
"Chubrei","Ukraine","10","","","","2023-02-07","Superior Double Room","2023-02-04","2023-02-07"
"Ivan","Ukraine","10","","","","2023-02-05","Superior Double Room","2023-01-30","2023-02-04"
"Діана","Ukraine","10","","","","2023-01-30","Comfort Quadruple Room","2023-01-28","2023-01-30"
"Mirko","Ukraine","10","","","","2023-01-27","Comfort Quadruple Room","2022-12-22","2022-12-24"
"Irina","Ukraine","10","","","","2023-01-22","Comfort Quadruple Room","2023-01-18","2023-01-21"
"Денис","Ukraine","10","","","","2023-01-22","Superior Double Room","2023-01-20","2023-01-22"
"Alexei","Ukraine","9","","","","2023-01-21","Comfort Quadruple Room","2023-01-14","2023-01-17"
"Бондарь","Ukraine","10","","","","2023-01-20","Deluxe Studio","2023-01-16","2023-01-20"
"Anna","Ukraine","10","Номер дуже сподобався! Чистенький  з новим ремонтом  є все необхідне  у центрі міста! Рекомендую)","","","2023-01-19","Superior Double Room","2023-01-17","2023-01-19"
"Nataliia","Slovakia","9","","","","2023-01-18","Superior Double Room","2023-01-14","2023-01-17"
"Дар‘я","Ukraine","9","","","","2023-01-13","Superior Double Room","2023-01-10","2023-01-13"
"Sviatoslav","Ukraine","9","","","","2023-01-11","Superior Double Room","2023-01-09","2023-01-11"
"Nastya","Ukraine","10","","","","2023-01-10","Superior Double Room","2022-12-10","2022-12-12"
"Виталина","Ukraine","10","","","","2023-01-08","Superior Double Room","2023-01-05","2023-01-08"
"Helena","Ukraine","10","","","","2023-01-07","Deluxe Studio","2023-01-04","2023-01-07"
"Oleksandr","Ukraine","10","","","","2023-01-05","Superior Double Room","2023-01-02","2023-01-04"
"Наталія","Ukraine","9","","","","2022-12-27","Deluxe Studio","2022-12-15","2022-12-16"
"Алексей","Ukraine","10","","","","2022-12-26","Comfort Quadruple Room","2022-12-24","2022-12-26"
"Dennis","Ukraine","8","","","","2022-12-22","Comfort Quadruple Room","2022-12-19","2022-12-21"
"Маргарита","Ukraine","10","","","","2022-12-09","Comfort Quadruple Room","2022-12-06","2022-12-08"
"Dmytro","Ukraine","10","","","","2022-12-08","Comfort Quadruple Room","2022-12-02","2022-12-04"
"Stremytska","Ukraine","7","","","","2025-04-27","Small Double Room","2025-02-22","2025-02-24"
"Катерина","Ukraine","7","","","","2025-03-30","Small Double Room","2025-03-29","2025-03-30"
"Vitaliy","Ukraine","10","","","","2025-03-13","Superior Double Room","2025-03-06","2025-03-08"
"Владислав","Ukraine","9","","","","2025-03-12","Superior Double Room","2025-01-08","2025-01-10"
"Daniel","Germany","8","","","","2025-03-09","Superior Double Room","2025-02-06","2025-02-10"
"Пухальський","Ukraine","8","","","","2025-03-08","Comfort Quadruple Room","2025-03-07","2025-03-08"
"Денис","Ukraine","7","","","","2025-02-20","Comfort Quadruple Room","2025-02-15","2025-02-17"
"Katherina","Ukraine","10","","","","2025-02-17","Superior Double Room","2025-02-12","2025-02-15"
"Євгенія","Ukraine","7","","","","2025-01-26","Comfort Quadruple Room","2025-01-25","2025-01-26"
"Zay","Ukraine","8","","","","2024-12-31","Small Double Room","2024-12-15","2024-12-16"
"Yevhenii","Ukraine","7","","","","2024-12-30","Superior Double Room","2024-12-27","2024-12-29"
"Олександр","Ukraine","10","","","","2024-12-15","Deluxe Studio","2024-12-13","2024-12-15"
"Anna","Ukraine","7","","","","2024-11-18","Superior Double Room","2024-11-15","2024-11-17"
"Ilona","Ukraine","10","","","","2024-11-03","Superior Double Room","2024-10-31","2024-11-02"
"Yaroslav","Ukraine","8","","","","2024-09-25","Superior Double Room","2024-09-23","2024-09-25"
"Popyk","Ukraine","8","","","","2024-09-12","Small Double Room","2024-09-08","2024-09-10"
"Bogdan","Ukraine","7","","","","2024-08-30","Superior Double Room","2024-08-28","2024-08-30"
"Maria","Poland","8","","","","2024-08-30","Superior Double Room","2024-08-27","2024-08-28"
"Марія","Ukraine","9","","","","2024-08-25","Superior Double Room","2024-08-19","2024-08-25"
"Olena","Poland","7","","","","2024-08-15","Deluxe Studio","2024-07-25","2024-07-26"
"Катерина","Ukraine","9","","","","2024-08-08","Deluxe Studio","2024-07-13","2024-07-14"
"Zhanna","Ukraine","8","","","","2024-07-19","Superior Double Room","2024-07-17","2024-07-18"
"Олександра","Ukraine","10","","","","2024-07-17","Deluxe Studio","2024-07-11","2024-07-13"
"Кривша","Ukraine","7","","","","2024-07-12","Deluxe Studio","2024-07-09","2024-07-11"
"Наталія","Ukraine","8","Все добре) розташування супер  зручно територіально до центру міста та не тільки)","","","2024-06-24","Superior Double Room","2024-06-22","2024-06-24"
"Tory","Ukraine","8","","","","2024-06-19","Superior Double Room","2024-06-15","2024-06-17"
"Klaudia","Austria","7","","","","2024-05-30","Superior Double Room","2024-05-28","2024-05-30"
"Serhii","Germany","8","Готель розвивається в правильному напрямку","","","2024-05-26","Superior Double Room","2024-05-19","2024-05-21"
"Yelyzaveta","Poland","9","","","","2024-04-24","Deluxe Studio","2024-04-15","2024-04-20"
"Майя","Ukraine","9","","","","2024-04-17","Comfort Triple Room","2024-04-07","2024-04-13"
"Volodymyr","Ukraine","9","","","","2024-04-01","Comfort Quadruple Room","2024-03-29","2024-04-01"
"Dávid","Slovakia","10","","","","2024-03-09","Superior Double Room","2024-03-06","2024-03-08"
