автор,нація,рахунок,назва,Позитивні відгуки,Негативні відгуки,Дата коментаря,Тип кімнати,Дата заїзду,Дата виїзду
"Маринич","Ukraine","10","Гарно та затишно","Все зручно. Є праска  чайник  холодильник і посуд. Зручне велике ліжко та простора душова це топ","Поряд розташовані церкви це з одної сторони дуже гарний вид  з іншої будьте готові до нічних і ранкових дзвонів","2024-06-14","Superior Double Room","2024-06-09","2024-06-10"
"Yuliia","Ukraine","10","","Номер дуже чистий  розташування комфортне  продивання було чудовим  дуже дякую)","","2024-06-09","Superior Double Room","2024-06-01","2024-06-04"
"Daria","Lithuania","10","","Локація - топ. Самий центр. До тц теж нема шо йти  обмінники та автомати поповнення поруч. Дозволили за 500 грн продовжити виселення  бо в 10:00 то дійсно рано. Дуже раджу всім  хто прибуває в комендантську годину  ці апартаменти  так як безконтактне поселення та виселення. Швидко відповідають на всі поставлені запитання. Є ютуб  нетфлікс. Крч все класс) дякую!","","2024-06-06","Comfort Triple Room","2024-06-03","2024-06-06"
"Uliana","Ukraine","9","","Все гарно  чисто  ціна якість👍","","2024-06-05","Superior Double Room","2024-05-31","2024-06-01"
"Омельченко","Ukraine","10","","Чисто  в самому центрі  є все необхідне. Дуже дбайливий персонал  надали всю необхідну інформацію про заселення й виселення  а також про парковки. Ніяких зайвих контактів  що теж порадувало. Приємно здивувати і сам підʼїзд: чистий  з ремонтом.","","2024-06-04","Deluxe Studio","2024-05-27","2024-05-28"
"Olena","Ukraine","10","Чисто  затишно  у самому центрі","Чистий та зручний номер у самому центрі Львова. Вихід відразу на вуличку де бурхливе життя) так як вікна були у внутрішній дворик- то в номері було тихо і спокійно!  З плюсів безконтактний вхід у номер  ми вселяли б ввечері і це дуже зручно!!","Немає кондиціонера  було трішки спекотно Але так як вікна у внутрішній двір  то спокійно можна було спати з відкритим вікном","2024-06-03","Comfort Quadruple Room","2024-05-31","2024-06-01"
"Катерина","Ukraine","10","","Зручне розташування  все було чисто і охайно  із задоволенням повернемось сюди)","","2024-06-03","Deluxe Studio","2024-05-30","2024-05-31"
"Iryna","Ukraine","9","","Розташована дуже зручно.  Є все необхідне  мікрохвильовка  праска. Зручне заселення/виселення. Гарно чисто.","Зранку трохи шумно від кафе під вікнами  які починають відкриватися та виносити столи. Та трохи чутно сусідів. Якісь трабли були з холодильником.","2024-06-02","Deluxe Studio","2024-05-28","2024-05-31"
"Svitlana","Ukraine","10","","Дуже зручна локація  навколо безліч кафе  гарний вигляд. Самостійне заселення  при потребі за додаткову плату можна заселятися зранку. Сучасні  чисті номера!","","2024-05-29","Superior Double Room","2024-05-28","2024-05-29"
"Olena","Ukraine","10","","Було надзвичайно чисто  місце знаходження у самісінькому центрі. Дуже порадувала наявність кави та чаю у достатньому обсязі. Обовʼязково зупинюся ще раз","","2024-05-24","Comfort Triple Room","2024-05-20","2024-05-23"
"Катя","Ukraine","10","","Неймовірний вид з вікна  є все необхідне! Чистота на вищому рівні!","","2024-05-16","Superior Double Room","2024-05-12","2024-05-15"
"Julia","Ukraine","10","Все прекрасно  дякуємо.","Все дуже сподобалось! Квартира прекрасна (якби був маленький килим у ванній кімнаті  було б взагалі ідеально) Розташування неймовірне  дуже дякуємо.","","2024-05-14","Superior Double Room","2024-05-07","2024-05-10"
"Anastasia","Ukraine","10","","зручне місцерозташування  чисто комфортно","","2024-05-11","Superior Double Room","2024-05-09","2024-05-10"
"Валерія","Ukraine","10","","Двомісна маленька  але достатня кімната  було чисто та приємно знаходитись там. Є кава та чай  чайник  чиста білизна на рушники.","Спілкування персоналу хотілось щоб було кращим. При бронюванні не звернула увагу  що кухні в двомісній кімнаті нема; так  моя помилка  але на звичайне уточнююче питання про її відсутність  отримала грубу відповідь  без якої можна було б обійтись)","2024-05-06","Superior Double Room","2024-04-05","2024-04-07"
"Andrii","Ukraine","10","","Класні сучасні номера  розташування в самому центрі.  Зручне самостійне заселення в будь якій годині","","2024-04-23","Small Double Room","2024-04-18","2024-04-19"
"Uliana","Ukraine","10","","Ремонт","Був лише один рулон туалетного паперу  довелось купляти упаковку  при тому що приїхали всього на два дні","2024-04-22","Deluxe Studio","2024-04-20","2024-04-22"
"Илья","Ukraine","8","","Місце розташування у самому центрі  завжди була гаряча вода  поруч транспортна розв'язка. Затишна кімната  з великим ліжком","Персонал не привітний  під час заселення  коли перепитати де сами коди від дверей  нам сказали  що кудись їх скинули  куди саме не сказали й кинули слухавку  що було не дуже приємно.","2024-04-22","Superior Double Room","2024-04-20","2024-04-22"
